SP_ENTITY_NAME,SP_ENTITY_ID,SP_GEOGRAPHY,SP_COUNTRY_NAME,SP_COMPANY_TYPE,IQ_INDUSTRY_CLASSIFICATION,SP_COMPANY_STATUS,SP_YEAR_INCORPORATED,SP_PRICE_CLOSE,year,IQ_TOTAL_ASSETS,IQ_TOTAL_REV,IQ_TOTAL_DEBT,IQ_INTEREST_EXP,IQ_TOTAL_CA,IQ_TOTAL_CL,IQ_RETAINED_EARNINGS,IQ_EBIT,IQ_TOTAL_LIAB,IQ_AVG_BASIC_SHARES_OUT,X1,X2,X3,MARKET_VALUE_EQUITY,X4,X5,has_mve,is_distressed
"1-800-FLOWERS.COM, Inc. (NASDAQGS:FLWS)",4122591,United States and Canada,USA,Public Company,Consumer Discretionary,Operating,1992.0,14.5,2019,606440.0,1248623.0,96973.0,-2769.0,303238.0,127497.0,108525.0,45108.0,263729.0,64342000.0,0.2897912406828544,0.17895422465507066,0.07438163709505577,932959000.0,3537.566972143611,2.0589390541487056,1,0
1847 Holdings LLC,7019095,United States and Canada,USA,Private Company,Industrials,Operating,2013.0,117000.117,2019,19294.792,6380.025,5653.883,-523.78,5726.093,16663.353,-4402.043,-1318.754,23293.586,,-0.5668503707857098,-0.22814669366593082,-0.06834766604022745,,-0.17166931703123464,0.33066047043520025,0,1
1911 Gold Corporation (TSXV:AUMB),10803812,United States and Canada,Canada,Public Company,Materials,Operating,2018.0,0.192747304428948,2019,37301.2293423076,9254.14939802384,0.0,,8849.41424094184,1690.00836523301,-83932.1992081941,-6585.66869619954,3717.71000782554,36247978.0,0.1919348504526791,-1.708419489031466,-0.17655366356929758,6986700.05049981,1879.302052584509,0.24809234336090782,1,0
1933 Industries Inc. (CNSX:TGIF),4812052,United States and Canada,Canada,Public Company,Health Care,Operating,,0.161907735720316,2019,46908.0723698226,13643.9786634462,17466.2314738732,-2106.93922126645,18234.2912139749,1087.55515992574,-27626.3261206975,-7531.08469104069,18614.1468090934,252121055.0,0.3655391319110064,-0.5889460965759364,-0.16054986509582342,40820349.14246725,2192.9744918704887,0.29086632585509786,1,0
1Spatial Plc (AIM:SPA),4971575,Europe,United Kingdom,Public Company,Information Technology,Operating,2005.0,0.364214290444342,2019,28851.8387134918,23388.1404251187,0.0,-57.0636653586077,15084.1511962477,10380.6182912249,-54321.8635449923,-2172.40046958234,11522.3417812989,86425000.0,0.1630236794114717,-1.708419489031466,-0.07529504414188962,31477220.051652256,2731.842245819237,0.8106291129851362,1,1
"1stdibs.Com, Inc. (NASDAQGM:DIBS)",5218564,United States and Canada,USA,Public Company,Consumer Discretionary,Operating,2000.0,,2019,88738.0,70567.0,0.0,-536.0,64139.0,20767.0,-219303.0,-30382.0,24530.0,10772486.0,0.48876467803546664,-1.708419489031466,-0.34237868781872055,,2.6175295555394404,0.7952286506254905,0,1
2.0 Hotéis S.A.,7169490,Latin America and Caribbean,Brazil,Private Company,Consumer Discretionary,Operating,,,2019,62608.4685043288,7519.97150534148,30724.9477559956,-3653.60220007644,4838.29236739974,3859.09045676187,-65670.7135038312,-1814.10616536109,34957.2096726042,,0.01564008725999307,-1.048911035066155,-0.028975411931800983,,0.7910030317037505,0.12011109175592488,0,0
2020 Bulkers Ltd. (OB:2020),9193072,United States and Canada,Bermuda,Public Company,Industrials,Operating,2017.0,,2019,283100.0,9100.0,140100.0,-1300.0,22900.0,12800.0,-4300.0,900.0,145000.0,18927774.0,0.03567643942057338,-0.015188979159254013,0.003179088661239212,,0.9524137930968799,0.03214411868586314,0,0
2G Energy AG (XTRA:2GB),6628653,Europe,Germany,Public Company,Industrials,Operating,,,2019,158142.337560319,264675.44810905,11842.3465379868,-455.926719172459,123354.750308607,70441.0077432387,60330.0235663786,16112.6638235618,81246.362922231,17720000.0,0.3345956774216217,0.38149191732407456,0.10188709786406303,,0.9464543626493946,1.6736533188427372,0,0
2S Inovações Tecnológicas S.A.,5250043,Latin America and Caribbean,Brazil,Private Company,Information Technology,Operating,,,2019,12290.6254353667,24330.0517751313,1300.67444521843,-135.01494656901,10968.2194745746,7588.28241616081,2447.47313165489,2400.66292718296,8448.37844561648,,0.2750012256018236,0.1991333268047587,0.19532471635492568,,0.4547910600866861,1.9795617319148928,0,0
"2U, LLC",4971719,United States and Canada,USA,Private Company,Consumer Discretionary,Operating,2008.0,719.700719,2019,1186830.0,574671.0,320914.0,-13419.0,260948.0,155954.0,-479388.0,-157577.0,475580.0,2046453.0,0.08846591339948563,-0.4039230555341507,-0.13277133203564725,1472833695.499707,1.4955422852064941,0.48420666818290387,1,0
3Corp Technology S.A. Infraestrutura de Telecom,5288713,Latin America and Caribbean,Brazil,Private Company,Information Technology,Operating,,,2019,7437.46566822569,19199.1268239458,2270.40775201513,-999.276451237292,4911.30535376654,2009.53726738979,473.526719076525,3594.1855895097,4542.05592596278,,0.390155493205638,0.06366775191122645,0.42618970559563973,,0.6374667746988834,2.581407118742991,0,0
3D Systems Corporation (NYSE:DDD),4964201,United States and Canada,USA,Public Company,Industrials,Operating,1993.0,8.75,2019,807312.0,636354.0,92692.0,-4442.0,373170.0,162964.0,-793709.0,-56923.0,293416.0,113811000.0,0.26037764829426496,-0.983150256652963,-0.07050929504321686,995846250.0,3393.973914158076,0.7882380046366358,1,0
3M Company (NYSE:MMM),105135,United States and Canada,USA,Public Company,Industrials,Operating,1929.0,176.42,2019,44659000.0,32136000.0,21299000.0,-448000.0,12971000.0,9222000.0,42135000.0,6305000.0,34533000.0,577000000.0,0.08394724467632317,0.9434828366062621,0.1411809489688497,101794340000.0,2947.741001360932,0.7195861976309206,1,0
3Pl Brasil Logistica S.A.,12932389,Latin America and Caribbean,Brazil,Private Company,Industrials,Operating,,,2019,37891.0836899194,41457.0864790049,14640.0139317345,-1945.11789122902,13257.0405015424,15125.883172455,-3075.67917205692,-1756.47116192695,23152.5524927854,,-0.04932143630825919,-0.08117158108080205,-0.04635579114745373,,0.6365834264317124,1.0941119239864892,0,0
3U Holding AG (XTRA:UUU),5000446,Europe,Germany,Public Company,Industrials,Operating,2003.0,,2019,90313.096173269,57695.605363557,24740.2087307822,-965.064070776306,39074.1779822691,12704.5225002806,2316.23835708675,-1019.92270124967,38116.9341263607,33163253.0,0.2919804170051414,0.025646760605098896,-0.011293187194929267,,1.369369369333443,0.6388398560960308,0,0
407 International Inc.,6932224,United States and Canada,Canada,Private Company,Industrials,Operating,1999.0,,2019,4125948.79860605,1134386.89648577,6880384.87781748,-335048.438303046,625889.046941679,186502.29176545,-3935206.06614317,907027.216242793,7431796.36632782,775000003.0,0.10649350649348074,-0.9537699710359285,0.219834821156533,,-0.44482483167858944,0.2749396446385246,0,1
43 S/A Gráfica e Editora,7136372,Latin America and Caribbean,Brazil,Private Company,Industrials,Operating,,,2019,53268.8235147776,33534.9041511737,261.868096327993,-3228.77306637119,41106.189670614,5636.09438750124,24383.3160015922,3457.41264838661,5771.13070952334,,0.6658696952938512,0.457740839618321,0.06490499358151892,,8.230223016547662,0.6295409197697234,0,0
4C Group AB (publ) (OM:4C),8364282,Europe,Sweden,Public Company,Information Technology,Operating,2006.0,,2019,17310.8810120458,18897.2134919727,4574.99408576655,-261.337125641346,9377.24459877947,8345.75946785815,835.806963702128,885.583701059946,10710.4894416214,30852000.0,0.05958594078163755,0.04828217368441551,0.05115763318993145,,0.616254897200006,1.0916378824238586,0,0
"4D Molecular Therapeutics, Inc. (NASDAQGS:FDMT)",5284798,United States and Canada,USA,Public Company,Health Care,Operating,2015.0,,2019,58234.0,6986.0,0.0,,52508.0,12955.0,-79025.0,-45627.0,28224.0,5142560.0,0.6792080227928837,-1.3570251055851046,-0.3505181444736098,,1.063279478420377,0.11996428203249022,0,1
4Front Ventures Corp. (CNSX:FFNT),11260224,United States and Canada,USA,Public Company,Health Care,Operating,,0.454883638452316,2019,202701.0,19032.0,109937.0,-5559.0,30241.0,18852.0,-203497.0,-32564.0,127941.0,420306991.0,0.056186205297180644,-1.0039269663148975,-0.16065041612936962,191190773.33302483,1494.3667263154928,0.09389198869224182,1,1
4GLOBAL plc,29639008,Europe,United Kingdom,Private Company,Information Technology,Operating,2021.0,,2019,1264.18757895011,4274.92683257378,83.3205276797458,-7.79106151803054,1207.71073981951,1140.34041334045,43.6078084100587,-496.528525733778,1223.6609410202,105000.0,0.05329140038040784,0.03449472934370992,-0.3505181444736098,,0.03311917258959227,3.139458531698743,0,0
4iG Nyrt. (BUSE:4IG),4969119,Europe,Hungary,Public Company,Information Technology,Operating,1995.0,2.24406779661017,2019,81726.5694915254,141776.294599537,7454.3186440678,-50.2725382904964,75121.620338983,61778.7322033898,10006.6338983051,11352.2181230882,63107.2033898305,91710846.0,0.16326254996930376,0.12244040047735386,0.13890486525470103,205805356.10847464,3261.202288333034,1.7347638042301983,1,0
4SC AG (DB:VSC),4810614,Europe,Germany,Public Company,Health Care,Operating,,,2019,59424.3070362473,2458.56229631644,2030.07518796992,-39.1847360524022,51879.6992481203,3543.93446302323,-214758.164066884,-15536.1880628339,5345.0791156997,6850200.0,0.8134005627495176,-1.708419489031466,-0.26144500184235686,,10.11757295632672,0.041373007425655084,0,1
5.11 ABR Corp.,8725737,United States and Canada,USA,Private Company,Consumer Discretionary,Operating,2016.0,,2019,503203.0,388645.0,234614.0,-17952.0,205489.0,69849.0,-27827.0,23409.0,291278.0,46524011.0,0.26955324193164676,-0.0552997498026536,0.046519992925227946,,0.7275695383766451,0.7723423747458334,0,0
5N Plus Inc. (TSX:VNP),4750650,United States and Canada,Canada,Public Company,Materials,Operating,,1.89663347558084,2019,229942.0,195971.0,61343.0,-4079.0,144713.0,37016.0,-224651.0,8196.0,112645.0,83777410.0,0.4683659357556759,-0.9769898496100017,0.0356437710377589,158895040.30346102,1410.5822744200848,0.8522627445144764,1,0
74Software (ENXTPA:74SW),4406381,United States and Canada,USA,Public Company,Information Technology,Operating,2000.0,13.9153854786219,2019,638354.842329705,335826.622735734,81208.6185613287,-2011.85630531905,141575.580742902,146512.175962294,6065.53697677028,15736.5899986447,231444.28234766,21225381.0,-0.007733308956140942,0.009501826530561475,0.024651790751972127,295359358.54561716,1276.1575077524365,0.5260814212822345,1,0
7FIT S.A. (WSE:7FT),4914227,Europe,Poland,Public Company,Consumer Discretionary,Operating,2011.0,,2019,1406.25349733411,2828.41271836127,462.166235548751,-30.0420796465421,1206.78139682204,685.074433827799,133.833342131658,209.872156333079,882.507522567703,1792500.0,0.3709906952141066,0.09517013987179478,0.14924205101121513,,0.5934747985479663,2.011310707288474,0,0
"8x8, Inc. (NASDAQGS:EGHT)",4121452,United States and Canada,USA,Public Company,Information Technology,Operating,1987.0,18.3,2019,546358.0,352586.0,216035.0,,397391.0,74705.0,-250302.0,-89633.0,296968.0,94533000.0,0.5906127484166231,-0.4581281870120724,-0.16405543617890822,1729953900.0,5825.388257301038,0.6453387705485316,1,0
